iter	Passed	Remaining
0	6	601
1	13	644
2	20	661
3	28	674
4	31	606
5	34	545
6	36	490
7	39	448
8	41	420
9	43	394
10	45	368
11	46	344
12	48	322
13	49	304
14	50	288
15	52	275
16	53	261
17	54	249
18	56	241
19	57	231
20	58	221
21	59	211
22	60	204
23	61	195
24	62	188
25	63	181
26	64	174
27	65	168
28	66	162
29	67	156
30	68	152
31	69	147
32	70	143
33	71	139
34	72	135
35	73	131
36	74	127
37	75	123
38	76	119
39	77	115
40	78	112
41	78	108
42	79	105
43	80	102
44	81	99
45	82	96
46	82	93
47	83	90
48	84	88
49	86	86
50	87	83
51	88	81
52	89	79
53	90	76
54	90	74
55	91	71
56	92	69
57	93	67
58	94	65
59	95	63
60	96	61
61	97	59
62	97	57
63	98	55
64	100	54
65	101	52
66	102	50
67	103	48
68	104	46
69	105	45
70	106	43
71	107	41
72	108	40
73	109	38
74	109	36
75	110	35
76	111	33
77	112	31
78	113	30
79	115	28
80	116	27
81	117	25
82	118	24
83	119	22
84	120	21
85	121	19
86	122	18
87	123	16
88	124	15
89	125	13
90	126	12
91	127	11
92	128	9
93	130	8
94	131	6
95	133	5
96	134	4
97	135	2
98	136	1
99	137	0
