iter	Passed	Remaining
0	135	135198
1	136	68172
2	137	45791
3	138	34577
4	139	27857
5	141	23377
6	142	20236
7	144	17874
8	147	16226
9	149	14828
10	151	13598
11	152	12572
12	154	11693
13	155	10939
14	156	10288
15	158	9730
16	162	9408
17	166	9066
18	167	8638
19	168	8258
20	169	7912
21	170	7592
22	171	7297
23	172	7026
24	174	6794
25	177	6660
26	178	6444
27	179	6240
28	180	6052
29	181	5874
30	182	5710
31	183	5557
32	184	5413
33	185	5279
34	186	5149
35	191	5125
36	195	5088
37	196	4980
38	197	4872
39	198	4768
40	199	4674
41	200	4582
42	201	4495
43	206	4477
44	207	4396
45	208	4315
46	209	4238
47	210	4168
48	211	4098
49	212	4032
50	213	3966
51	214	3904
52	215	3844
53	216	3793
54	219	3763
55	220	3711
56	221	3658
57	222	3607
58	223	3558
59	224	3509
60	224	3462
61	225	3417
62	226	3373
63	227	3331
64	228	3290
65	229	3250
66	235	3276
67	236	3244
68	237	3207
69	238	3170
70	239	3136
71	240	3101
72	241	3068
73	242	3035
74	243	3003
75	244	2973
76	245	2942
77	249	2950
78	250	2923
79	251	2895
80	252	2870
81	254	2848
82	254	2816
83	255	2791
84	257	2769
85	258	2747
86	259	2724
87	265	2747
88	267	2733
89	268	2711
90	269	2688
91	270	2666
92	271	2645
93	272	2625
94	273	2604
95	274	2584
96	279	2602
97	282	2604
98	284	2584
99	285	2565
100	286	2546
101	287	2527
102	288	2508
103	289	2491
104	293	2500
105	295	2488
106	296	2472
107	297	2455
108	298	2438
109	299	2422
110	300	2406
111	301	2390
112	302	2374
113	303	2359
114	304	2343
115	307	2343
116	308	2329
117	309	2315
118	310	2300
119	311	2286
120	312	2272
121	313	2257
122	314	2243
123	315	2230
124	316	2218
125	317	2205
126	318	2191
127	319	2178
128	322	2179
129	323	2167
130	325	2156
131	326	2144
132	327	2131
133	328	2120
134	329	2109
135	330	2097
136	331	2086
137	335	2094
138	336	2085
139	337	2074
140	339	2065
141	339	2052
142	340	2043
143	341	2032
144	343	2024
145	344	2014
146	345	2004
147	347	2002
148	350	2003
149	351	1993
150	352	1983
151	353	1973
152	354	1965
153	356	1956
154	357	1947
155	358	1939
156	359	1929
157	364	1940
158	365	1931
159	366	1924
160	367	1912
161	368	1903
162	369	1894
163	369	1885
164	370	1876
165	371	1867
166	372	1859
167	373	1850
168	374	1843
169	377	1841
170	378	1834
171	379	1825
172	380	1818
173	381	1810
174	382	1802
175	383	1794
176	384	1786
177	385	1778
178	386	1770
179	387	1763
180	388	1755
181	389	1751
182	391	1749
183	392	1742
184	393	1735
185	394	1728
186	395	1720
187	396	1713
188	397	1706
189	398	1699
190	399	1693
191	400	1686
192	401	1680
193	402	1673
194	404	1669
195	406	1665
196	407	1659
197	408	1652
198	409	1646
199	410	1640
200	411	1633
201	412	1627
202	413	1621
203	413	1615
204	414	1609
205	418	1611
206	421	1612
207	422	1608
208	423	1604
209	425	1600
210	426	1595
211	428	1590
212	429	1587
213	430	1582
214	431	1577
215	433	1571
216	437	1577
217	438	1573
218	439	1568
219	441	1564
220	442	1560
221	443	1555
222	445	1551
223	446	1546
224	447	1541
225	448	1536
226	450	1534
227	451	1529
228	452	1524
229	453	1519
230	454	1513
231	455	1509
232	457	1506
233	458	1501
234	459	1496
235	464	1503
236	465	1499
237	466	1495
238	468	1490
239	474	1501
240	476	1499
241	480	1506
242	482	1502
243	483	1498
244	484	1494
245	486	1490
246	487	1487
247	489	1483
248	490	1480
249	494	1482
250	495	1479
251	496	1475
252	498	1471
253	499	1467
254	501	1464
255	502	1461
256	504	1458
257	506	1456
258	509	1456
259	510	1452
260	511	1449
261	513	1446
262	514	1442
263	516	1439
264	517	1435
265	519	1433
266	521	1430
267	526	1439
268	528	1436
269	529	1431
270	530	1428
271	532	1424
272	533	1419
273	534	1416
274	536	1413
275	537	1409
276	540	1412
277	542	1409
278	544	1405
279	545	1402
280	547	1400
281	548	1396
282	549	1392
283	554	1398
284	557	1398
285	558	1395
286	560	1391
287	561	1388
288	562	1384
289	563	1380
290	564	1376
291	565	1371
292	567	1369
293	570	1370
294	571	1366
295	573	1362
296	574	1359
297	575	1355
298	576	1352
299	577	1348
300	579	1344
301	580	1341
302	581	1337
303	584	1338
304	586	1335
305	588	1333
306	589	1331
307	591	1327
308	592	1325
309	594	1323
310	596	1320
311	598	1320
312	600	1317
313	601	1314
314	603	1311
315	604	1308
316	606	1305
317	607	1303
318	608	1299
319	610	1296
320	611	1293
321	614	1293
322	615	1290
323	617	1287
324	618	1284
325	620	1283
326	623	1283
327	625	1281
328	627	1279
329	629	1278
330	631	1275
331	632	1272
332	634	1270
333	637	1271
334	640	1270
335	644	1274
336	647	1273
337	649	1271
338	652	1271
339	654	1269
340	661	1279
341	663	1276
342	664	1273
343	666	1270
344	667	1267
345	669	1265
346	670	1261
347	674	1263
348	676	1261
349	677	1258
350	679	1255
351	680	1252
352	681	1249
353	682	1246
354	683	1242
355	684	1238
356	685	1235
357	690	1238
358	693	1238
359	694	1235
360	696	1232
361	697	1228
362	698	1225
363	699	1221
364	700	1218
365	701	1214
366	707	1219
367	708	1216
368	709	1213
369	710	1209
370	711	1206
371	713	1203
372	714	1201
373	715	1197
374	716	1194
375	718	1193
376	721	1192
377	722	1189
378	723	1185
379	724	1182
380	725	1179
381	727	1176
382	728	1172
383	729	1169
384	730	1166
385	732	1164
386	735	1164
387	736	1161
388	737	1158
389	738	1155
390	739	1151
391	740	1148
392	741	1145
393	742	1141
394	743	1138
395	748	1140
396	750	1139
397	751	1136
398	752	1133
399	753	1130
400	754	1127
401	755	1124
402	756	1120
403	757	1117
404	758	1114
405	761	1114
406	763	1112
407	764	1109
408	765	1106
409	766	1103
410	767	1099
411	768	1096
412	769	1093
413	770	1090
414	771	1087
415	772	1084
416	773	1081
417	776	1081
418	778	1078
419	779	1075
420	780	1072
421	781	1069
422	782	1066
423	783	1064
424	784	1061
425	785	1058
426	786	1055
427	787	1052
428	788	1049
429	791	1048
430	792	1046
431	793	1043
432	794	1040
433	795	1037
434	796	1035
435	797	1032
436	798	1029
437	800	1026
438	801	1024
439	802	1021
440	803	1018
441	807	1018
442	808	1016
443	809	1013
444	810	1010
445	811	1008
446	812	1005
447	813	1002
448	814	999
449	815	996
450	816	994
451	817	991
452	818	988
453	821	988
454	823	985
455	824	983
456	825	981
457	827	979
458	829	977
459	830	974
460	831	971
461	832	969
462	833	966
463	836	965
464	839	966
465	840	963
466	841	960
467	842	957
468	843	955
469	844	952
470	846	950
471	847	947
472	848	945
473	852	945
474	854	944
475	855	941
476	856	939
477	857	936
478	858	933
479	859	930
480	860	928
481	861	925
482	862	922
483	863	920
484	866	920
485	868	918
486	870	916
487	871	914
488	872	911
489	873	908
490	874	906
491	875	903
492	876	901
493	877	898
494	878	895
495	881	895
496	882	892
497	883	890
498	884	887
499	885	885
500	886	882
501	886	879
502	887	877
503	888	874
504	889	872
505	890	869
506	891	867
507	892	864
508	895	863
509	897	861
510	898	859
511	899	856
512	900	854
513	901	852
514	902	849
515	903	847
516	903	844
517	904	842
518	905	839
519	906	837
520	907	834
521	910	833
522	912	831
523	913	829
524	914	827
525	915	824
526	916	822
527	917	820
528	919	818
529	920	815
530	920	813
531	921	811
532	923	808
533	927	809
534	928	807
535	930	805
536	931	802
537	932	800
538	932	797
539	933	795
540	934	793
541	935	790
542	936	788
543	940	788
544	942	787
545	944	785
546	945	782
547	946	780
548	947	778
549	948	776
550	949	773
551	950	771
552	951	769
553	952	767
554	957	767
555	958	765
556	960	763
557	962	762
558	964	760
559	965	758
560	967	756
561	970	756
562	972	754
563	973	752
564	975	750
565	976	748
566	977	746
567	979	744
568	981	743
569	982	741
570	985	740
571	987	738
572	988	736
573	989	734
574	990	732
575	991	729
576	992	727
577	993	725
578	994	723
579	995	721
580	996	718
581	998	716
582	1002	717
583	1003	715
584	1005	713
585	1006	711
586	1007	709
587	1009	707
588	1010	705
589	1012	703
590	1020	706
591	1022	705
592	1024	703
593	1026	701
594	1028	699
595	1031	699
596	1032	697
597	1033	695
598	1036	693
599	1039	692
600	1040	690
601	1041	688
602	1042	686
603	1043	683
604	1044	681
605	1047	681
606	1050	680
607	1051	678
608	1052	675
609	1053	673
610	1054	671
611	1055	669
612	1056	667
613	1057	665
614	1064	666
615	1065	664
616	1066	662
617	1067	659
618	1068	657
619	1069	655
620	1070	653
621	1071	651
622	1072	649
623	1073	646
624	1076	646
625	1078	644
626	1079	642
627	1080	640
628	1081	638
629	1082	635
630	1083	633
631	1084	631
632	1085	629
633	1086	627
634	1087	625
635	1088	623
636	1092	622
637	1094	620
638	1097	620
639	1099	618
640	1100	616
641	1101	614
642	1102	612
643	1103	610
644	1106	608
645	1109	608
646	1110	606
647	1111	603
648	1112	601
649	1113	599
650	1114	597
651	1115	595
652	1116	593
653	1117	591
654	1118	589
655	1122	588
656	1125	587
657	1127	585
658	1128	584
659	1129	581
660	1130	579
661	1131	577
662	1132	575
663	1133	573
664	1137	573
665	1139	571
666	1140	569
667	1141	567
668	1142	565
669	1143	563
670	1144	561
671	1145	559
672	1146	557
673	1147	555
674	1148	552
675	1151	551
676	1152	550
677	1154	548
678	1155	546
679	1156	544
680	1157	542
681	1158	540
682	1159	538
683	1160	535
684	1161	534
685	1162	532
686	1163	530
687	1166	528
688	1168	527
689	1169	525
690	1170	523
691	1171	521
692	1173	519
693	1174	517
694	1175	515
695	1176	513
696	1177	511
697	1178	509
698	1181	508
699	1183	507
700	1184	505
701	1185	503
702	1186	501
703	1187	499
704	1188	497
705	1189	495
706	1190	493
707	1191	491
708	1192	489
709	1193	487
710	1195	485
711	1197	484
712	1198	482
713	1199	480
714	1200	478
715	1201	476
716	1202	474
717	1204	472
718	1205	470
719	1206	469
720	1207	467
721	1208	465
722	1209	463
723	1211	461
724	1214	460
725	1215	458
726	1216	456
727	1217	455
728	1219	453
729	1220	451
730	1221	449
731	1222	447
732	1223	445
733	1224	443
734	1228	443
735	1229	441
736	1231	439
737	1233	437
738	1235	436
739	1237	434
740	1239	433
741	1242	432
742	1245	430
743	1246	428
744	1248	427
745	1249	425
746	1250	423
747	1258	423
748	1259	422
749	1260	420
750	1261	418
751	1263	416
752	1266	415
753	1271	414
754	1274	413
755	1276	412
756	1278	410
757	1280	408
758	1281	406
759	1282	404
760	1283	402
761	1284	401
762	1285	399
763	1291	399
764	1292	397
765	1294	395
766	1295	393
767	1297	391
768	1298	390
769	1299	388
770	1308	388
771	1309	386
772	1311	385
773	1312	383
774	1314	381
775	1315	379
776	1319	378
777	1320	376
778	1321	375
779	1323	373
780	1326	372
781	1328	370
782	1329	368
783	1330	366
784	1335	365
785	1337	364
786	1338	362
787	1339	360
788	1340	358
789	1341	356
790	1342	354
791	1343	352
792	1345	351
793	1346	349
794	1351	348
795	1352	346
796	1353	344
797	1355	343
798	1356	341
799	1357	339
800	1359	337
801	1360	335
802	1365	334
803	1366	333
804	1367	331
805	1368	329
806	1370	327
807	1371	325
808	1372	323
809	1373	322
810	1374	320
811	1375	318
812	1378	317
813	1379	315
814	1381	313
815	1382	311
816	1383	309
817	1384	307
818	1385	306
819	1387	304
820	1388	302
821	1389	300
822	1390	299
823	1394	297
824	1395	295
825	1396	294
826	1397	292
827	1398	290
828	1399	288
829	1400	286
830	1401	285
831	1403	283
832	1405	281
833	1409	280
834	1411	278
835	1412	277
836	1413	275
837	1415	273
838	1416	271
839	1417	270
840	1418	268
841	1419	266
842	1420	264
843	1423	263
844	1425	261
845	1427	259
846	1428	258
847	1429	256
848	1430	254
849	1432	252
850	1434	251
851	1436	249
852	1438	247
853	1439	246
854	1441	244
855	1442	242
856	1443	240
857	1444	239
858	1445	237
859	1446	235
860	1448	233
861	1451	232
862	1452	230
863	1453	228
864	1455	227
865	1457	225
866	1458	223
867	1459	221
868	1461	220
869	1462	218
870	1465	217
871	1467	215
872	1469	213
873	1470	211
874	1471	210
875	1473	208
876	1474	206
877	1475	205
878	1476	203
879	1477	201
880	1482	200
881	1483	198
882	1485	196
883	1486	195
884	1487	193
885	1488	191
886	1490	189
887	1491	188
888	1492	186
889	1497	185
890	1499	183
891	1500	181
892	1501	179
893	1503	178
894	1504	176
895	1506	174
896	1508	173
897	1511	171
898	1513	169
899	1514	168
900	1515	166
901	1516	164
902	1517	163
903	1518	161
904	1520	159
905	1521	157
906	1523	156
907	1526	154
908	1528	153
909	1529	151
910	1530	149
911	1531	147
912	1532	146
913	1533	144
914	1535	142
915	1536	140
916	1537	139
917	1541	137
918	1543	136
919	1544	134
920	1545	132
921	1546	130
922	1547	129
923	1548	127
924	1549	125
925	1550	123
926	1551	122
927	1552	120
928	1553	118
929	1560	117
930	1561	115
931	1562	114
932	1563	112
933	1565	110
934	1566	108
935	1566	107
936	1568	105
